plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd
2 7 0 FM 1172.10000 -0.00000 3 6 1088.40000 48.30000 1088.30000 -48.30000 1172.10000 -96.70000 1255.80000 -48.40000 1255.80000 48.40000 1172.10000 96.70000 1088.40000 48.30000 0 0 0.00000 2.00000 0.75700 1.00000 0.74200 1.00000
2 2 1 dIe 251.20000 145.00000 6 5 251.20000 241.70000 226.60000 227.50000 310.30000 82.50000 334.90000 96.70000 334.90000 193.30000 251.20000 241.70000 0.00000 0.00000 0 0 0.00000 0.00000 2.74300 3.00000 2.74300 3.00000
2 2 0 gIe 334.90000 -0.00000 6 6 334.90000 96.70000 310.30000 82.50000 310.30000 -82.50000 334.90000 -96.70000 418.60000 -48.30000 418.60000 48.30000 334.90000 96.70000 0 0 0.00000 0.00000 4.40400 4.00000 4.40400 4.00000
2 9 8 aOe 837.20000 1160.10000 4 4 920.90000 1111.70000 753.40000 1208.40000 753.50000 1111.70000 837.20000 1063.40000 920.90000 1111.70000 0.00000 0.00000 0.00000 0.00000 0 0 0.00000 0.00000 0.38100 1.00000 0.38100 1.00000
2 9 7 bOe 920.90000 1015.10000 4 5 1004.60000 966.70000 920.90000 1111.70000 837.20000 1063.40000 837.20000 966.70000 921.00000 918.40000 1004.60000 966.70000 0.00000 0.00000 0 0 0.00000 0.00000 0.52900 1.00000 0.52900 1.00000
2 9 6 FOe 1004.60000 870.00000 4 6 921.00000 918.40000 920.90000 821.70000 1004.70000 773.40000 1088.40000 821.70000 1088.40000 918.30000 1004.60000 966.70000 921.00000 918.40000 0 0 0.00000 2.00000 0.65200 1.00000 0.65200 1.00000
2 10 5 cOe 1255.80000 725.00000 3 3 1255.80000 628.40000 1172.10000 773.40000 1172.10000 676.70000 1255.80000 628.40000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0 0 0.00000 0.00000 0.12000 0.00000 0.12000 0.00000
2 9 3 FOe 1255.80000 435.00000 3 6 1172.10000 483.30000 1172.10000 386.70000 1255.80000 338.30000 1339.50000 386.70000 1339.60000 483.40000 1255.80000 531.70000 1172.10000 483.30000 0 0 0.00000 2.00000 0.60300 1.00000 0.60100 1.00000
2 9 2 bOe 1339.50000 290.00000 4 5 1423.20000 241.70000 1339.50000 386.70000 1255.80000 338.30000 1255.80000 241.70000 1339.50000 193.30000 1423.20000 241.70000 0.00000 0.00000 0 0 0.00000 0.00000 0.52800 1.00000 0.52800 1.00000
2 9 1 aOe 1423.20000 145.00000 3 4 1423.30000 48.40000 1423.20000 241.70000 1339.50000 193.30000 1339.50000 96.70000 1423.30000 48.40000 0.00000 0.00000 0.00000 0.00000 0 0 0.00000 0.00000 0.38200 1.00000 0.38200 1.00000
